time,temp_avg,temp_max,temp_min
19.98,626.56293313283,2652.802555262,300.07594707263
20.04,626.35253903781,2653.0974608664,300.07510769445
20.1,626.13932323809,2653.4573571823,300.07427783636
20.16,625.9234409317,2654.3291691111,300.07345742378
20.22,625.70483501362,2654.4400869611,300.07264634885
20.28,625.48338628838,2655.3302082491,300.07184449307
20.34,625.25906199108,2656.069618799,300.07105175387
20.4,625.03191711292,2655.7889498269,300.07026804428
20.46,624.80194815142,2657.2123151256,300.0694932694
20.52,624.5689359267,2657.8215126496,300.06872730123
20.58,624.33294330819,2657.6318832656,300.06797005605
20.64,624.09411866152,2659.1093980512,300.0672214663
20.7,623.85219317939,2659.5917017302,300.06648140151
20.76,623.6070917357,2659.9392225243,300.06574975955
20.82,623.35900596862,2661.0286883231,300.06502648138
20.88,623.10780011261,2661.3852293384,300.06431146121
20.94,622.85331705479,2662.2756372244,300.06360458918
21,622.5956195026,2663.2147962928,300.06290578932
21.06,622.33470261683,2663.2084615279,300.06221497783
21.12,622.07049030647,2664.6460393402,300.06153206118
21.18,621.80283599397,2665.4614755226,300.06085693714
21.24,621.5318112801,2665.3032468111,300.06018953447
21.3,621.25747255156,2667.0569640663,300.05952978203
21.36,620.97954698214,2667.7520816541,300.05887756458
21.42,620.69802034729,2668.1447825245,300.05823280123
21.48,620.41307812669,2669.5161055818,300.05759544062
21.54,620.12449265154,2670.0937398407,300.05696537828
21.6,619.83211228495,2671.0444960825,300.05634251849
21.66,619.53606740486,2672.2110600336,300.05572680426
21.72,619.23627788907,2672.4932488839,300.05511815365
21.78,618.93260147076,2674.0077847984,300.05451647655
21.84,618.62498007566,2675.0586517325,300.05392169471
21.9,618.31344077157,2674.9985824059,300.05333374169
21.96,617.99795161512,2677.0417862963,300.05275254505
22.02,617.67826699649,2677.9797846381,300.05217800734
22.08,617.35441757805,2678.4878665586,300.05161006422
22.14,617.02651632079,2680.1546702899,300.05104866373
22.2,616.69426386217,2680.9836930924,300.0504937064
22.26,616.35754972619,2682.0675177437,300.0499451138
22.32,616.01652361137,2683.4928765035,300.04940284001
22.38,615.67101078675,2684.0775724212,300.04886680393
22.44,615.32081326181,2685.7444253206,300.04833692108
22.5,614.96594646006,2687.0628619071,300.0478131324
22.56,614.60635625593,2687.2695660778,300.04729537294
22.62,614.24191530066,2689.5251616111,300.04678357022
22.68,613.87242367805,2690.7387636224,300.04627764498
22.74,613.49789167561,2691.4444416974,300.04577754115
22.8,613.11831013816,2693.4172651802,300.04528320268
22.86,612.73334243547,2694.5293215296,300.04479453996
